OBJECTID *;TIPO;NOMBRE;CONCESION;GEN;SENTIDO;COD_VIA;DEP;CONCESIONA;INIC_OPER;CAT1;CAT2;CAT3;CAT4;CAT5;CAT6;CAT7;ETIQUETA;longitud;latitud
101;Actual;MARAHUACO;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”;4G;Bidireccional;90A;Bolívar;CONCESIÓN COSTERA - CARTAGENA BARRANQUILLA S.A.S;07/01/1996 12:00:00 AM;15000;22600;16400;28600;89700;119600;132900;Marahuaco;-75.450444;10.574241
102;Actual;BAYUNCA;Ruta Caribe;3G;Bidireccional;9006;Bolívar;AUTOPISTAS DEL SOL S.A.;01/16/2009 12:00:00 AM;8300;9200;20500;27400;31300;0;0;Bayunca;-75.365173;10.546992
103;Actual;GALAPA 01;Ruta Caribe;3G;Bidireccional;9006;Atlántico;AUTOPISTAS DEL SOL S.A.;12/21/2010 12:00:00 AM;13000;19500;14100;24800;77600;103500;114800;Galapa (Ruta Caribe);-74.902122;10.837533
104;Actual;PUERTO COLOMBIA;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”;4G;Bidireccional;90A;Atlántico;CONCESIÓN COSTERA - CARTAGENA BARRANQUILLA S.A.S;12/16/1994 12:00:00 AM;14000;21000;15300;26800;83800;111700;124000;Puerto Colombia;-74.956082;10.967156
105;Actual;SABANAGRANDE;Ruta Caribe;3G;Bidireccional;2516;Atlántico;AUTOPISTAS DEL SOL S.A.;01/23/2015 12:00:00 AM;8800;9500;21000;27400;31700;0;0;Sabanagrande;-74.759003;10.799603
106;Actual;PAPIROS;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”;4G;Unidireccional O-E;90A;Atlántico;CONCESIÓN COSTERA - CARTAGENA BARRANQUILLA S.A.S;11/01/1995 12:00:00 AM;5900;7000;14700;25900;82500;110500;122700;Papiros;-74.889546;11.012256
107;Actual;TUCURINCA;Ruta del Sol – Sector 3;3G;Bidireccional;4518;Magdalena;CONCESIONARIA YUMA S.A.;06/01/2011 12:00:00 AM;8800;9700;22800;29900;34700;0;0;Tucurinca;-74.168495;10.608983
108;Actual;NEGUANJE;Santa Marta – Riohacha – Paraguachón;1G;Bidireccional;9008;Magdalena;CONCESIÓN SANTA MARTA PARAGUACHON;04/27/1996 12:00:00 AM;9900;15400;12400;19700;28800;46400;58600;Neguanje;-74.109322;11.253063
122;Actual;GALAPA 02;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”;4G;Bidireccional;;Atlántico;CONCESIÓN COSTERA - CARTAGENA BARRANQUILLA S.A.S;12/13/2018 12:00:00 AM;8800;9500;20400;26300;29600;0;0;Galapa (Cartagena - Barranquilla);-74.837061;10.882175
123;Actual;JUAN MINA;Cartagena – Barranquilla – “Circunvalar de la Prosperidad”;4G;Bidireccional;;Atlántico;CONCESIÓN COSTERA - CARTAGENA BARRANQUILLA S.A.S;07/11/2019 12:00:00 AM;13000;19500;14100;24800;77600;103500;114800;CC Juan Mina;-74.894495;10.929328
124;Actual;CAMBAO;Honda – Puerto Salgar – Girardot;4G;Bidireccional;4510;Boyacá;CONCESIÓN ALTO MAGDALENA S.A.S;01/22/2018 12:00:00 AM;10300;14500;19900;26700;37800;61200;70000;Cambao;-74.719187;4.946149
126;Actual;BRISAS;Honda – Puerto Salgar – Girardot;4G;Bidireccional;4510;Caldas;CONCESIÓN ALTO MAGDALENA S.A.S;10/18/2018 12:00:00 AM;5000;16700;22800;30600;43600;70300;80400;Brisas;-74.745473;5.295757
135;Actual;GUATAQUÍ;Honda – Puerto Salgar – Girardot;4G;Bidireccional;4508;Cundinamarca;CONCESIÓN ALTO MAGDALENA S.A.S;10/18/2018 12:00:00 AM;10300;14500;19900;26700;37800;61200;70000;Guataquí;-74.796322;4.565597
136;Actual;SOPO-SALITRE;Perimetral de Oriente de Cundinamarca;4G;Unidireccional O-E;50 CN03;Cundinamarca;PERIMETRAL ORIENTAL DE BOGOTA S.A.S;03/01/2018 12:00:00 AM;10000;15700;26500;39000;53100;53600;0;Sopó - Salitre;-73.9365;4.843616
139;Actual;SAN CARLOS;IP – Antioquia – Bolívar;4G;Bidireccional;SC;Córdoba;Concesión Ruta al Mar SAS CORUMA SAS;06/01/2018 12:00:00 AM;12800;18900;18900;18900;20200;29400;29500;San Carlos;-75.718368;8.707927
144;Actual;PAMPLONITA;Pamplona – Cúcuta;4G;Bidireccional;5505;Norte de Santander;Unión Vial Río Pamplonita S.A.S.;01/01/2021 12:00:00 AM;12300;15400;18300;26100;37200;46800;54300;Pamplonita;-72.619269;7.422467
163;Actual;CISNEROS;IP – Vías del Nus;4G;Aplica en ambos sentidos. Tramo que cubre: Cisneros - Antes de la entrada a la vía secundaria hacia;<Null>;ANTIOQUIA;Concesión Vías del NUS - VINUS S.A.S.;;8600;9200;9200;9200;19500;24800;28000;CISNEROS;-75.074777;6.53633
165;Actual;CIRILO;Autopistas al Mar 2;4G;Bidireccional;9001;ANTIOQUIA;AUTOPISTAS URABA SAS;10/01/2018 12:00:00 AM;9000;9900;9900;9900;20500;26500;29700;CIRILO;-76.744636;8.212907
184;Actual;ABURRÁ;Autopistas al Mar 1;4G;<Null>;6204A;<Null>;<Null>;;9000;9900;9900;9900;20500;26500;29700;Aburrá;-75.641166;6.280131
